J R R Tolkien
George R R Martin
J K Rowling
Robert Jordan
C S Lewis
Terry Pratchett
Rick Riordan
Philip Pullman
Christopher Paolini
Patrick Rothfuss
Stephen King
Jim Butcher
Terry Goodkind
Stephenie Meyer
Cassandra Clare
Brandon Sanderson
Charlaine Harris
David Eddings
Anne Rice
Eoin Colfer
Laurell K Hamilton
Raymond E Feist
Diana Gabaldon
Ursula K Le Guin
Patricia Briggs
Kim Harrison
Cornelia Funke
Rachel Caine
Brian Jacques
Gregory Maguire
Robin Hobb
Maggie Stiefvater
LaHaye &amp; Jenkins
Kristin Cashore
Kelley Armstrong
Christine Feehan
Piers Anthony
Terry Brooks
Garth Nix
Marion Zimmer Bradley
Darren Shan
Joe Abercrombie
Tamora Pierce
David Eddings
Jim Butcher
Jonathan Stroud
Jasper Fforde
Anne McCaffrey
Steven Erikson
Angie Sage
Roger Zelazny
Brent Weeks
Lloyd Alexander
D J MacHale
Weis &amp; Hickman
Susan Cooper
Maria V Snyder
Suzanne Collins
R A Salvatore
Jacqueline Carey
Tad Williams
Patricia C Wrede
Holly Black
Piers Anthony
Diana Wynne Jones
Anne Bishop
Jenny Nimmo
Stephen Donaldson
Christopher Moore
Laini Taylor
Orson Scott Card
Weis &amp; Hickman
Holly Black
Trudi Canavan
Naomi Novik
Brandon Sanderson
Simon R Green
Robert Lynn Asprin
Frank E Peretti
Glen Cook
Robin McKinley
Juliet Marillier
Joseph Delaney
Mary Stewart
Scott Lynch
David Eddings
Mary Norton
Darren Shan
Rachel Caine
Michael Moorcock
L E Modesitt Jr
David Gemmell
Diane Duane
Steven Brust
Lian Hearn
China Mieville
Charles de Lint
Mercedes Lackey
Obert Skye
Gene Wolfe
