Miguel de Cervantes
Leo Tolstoy
James Joyce
Marcel Proust
Feodor Dostoevsky
Herman Melville
Gustave Flaubert
George Eliot
Thomas Mann
Murasaki Shikibu
Jane Austen
Charles Dickens
Leo Tolstoy
Mark Twain
Henry Fielding
Charles Dickens
William Faulkner
Henry James
Gabriel Garcia Marquez
F. Scott Fitzgerald
Virginia Woolf
Feodor Dostoevsky
William Faulkner
William Makepeace Thackeray
Ralph Ellison
James Joyce
Robert Musil
Thomas Pynchon
Henry James
D. H. Lawrence
Stendhal
Laurence Sterne
Nikolai Gogol
Thomas Hardy
Thomas Mann
Honore de Balzac
James Joyce
Emily Bronte
Gunter Grass
Samuel Beckett
Jane Austen
Nathaniel Hawthorne
Ivan Turgenev
Joseph Conrad
Toni Morrison
Theodore Dreiser
Vladimir Nabokov
Doris Lessing
Samuel Richardson
Cao Xueqin
Franz Kafka
Charlotte Bronte
Stephen Crane
John Steinbeck
Andrey Bely
Chinue Achebe
Madame de Lafayette
Albert Camus
Willa Cather
Andre Gide
Edith Wharton
Ford Madox Ford
Kate Chopin
E. M. Forster
Saul Bellow
Emile Zola
Henry Roth
John Dos Passos
Knut Hamsun
Alfred Doblin
&#39;Abd al-Rahman Munif
Carlos Fuentes
Ernest Hemingway
Evelyn Waugh
Anthony Trollope
Charles Dickens
Daniel Defoe
Johann Wolfgang von Goethe
Voltaire
Richard Wright
Malcolm Lowry
Ivan Goncharov
Zora Neale Hurston
Sir Walter Scott
Kawabata Yasunari
George Orwell
Alessandro Manzoni
James Fenimore Cooper
Harriet Beecher Stowe
Victor Hugo
Jack Kerouac
Mary Shelley
Giuseppe Tomasi di Lampedusa
J.D. Salinger
Wilkie Collins
Jaroslav Hasek
Bram Stoker
Alexandre Dumas
Arthur Conan Doyle
Margaret Mitchell
