Roger Spottiswoode
Philippe de Broca
Roger Christian
Tarsem Singh
Kazuki Akane
Masaaki Tezuka
Brad Anderson
Paul Verhoeven
Shu Lea Cheang
Harry Ralston
Brian De Palma
David N. Twohy
Robert Lepage
Antony Hoffman
Clint Eastwood
Thomas Lee
Pierre-Paul Renders
"Don Bluth, Gary Goldman"
Mike Nichols
Bryan Singer
Steven Spielberg
"Gary Trousdale, Kirk Wise"
Mamoru Oshii
Cory McAbee
Richard Kelly
Sogo Ishii
Ivan Reitman
Campbell Scott
"Hironobu Sakaguchi, Motonori Sakakibara"
John Carpenter
Shusuke Kaneko
Noam Gonick
Joe Johnston
Iain Softley
Larry Blamire
Rintaro
Richard Pepin
Moon Seung-wook
James Wong
Tim Burton
Shinsuke Sato
Ringo Lam
Tom Sawyer (filmmaker)
Cameron Crowe
Danny Boyle
Lee Si-myung
Ron Underwood
Jonathan Frakes
"Shinichiro Watanabe, Yoshiyuki Takei"
Andrzej SekuÅ‚a
Vincenzo Natali
Takashi Miike
Ellory Elkayem
Kurt Wimmer
Masaaki Tezuka
Michael Almereyda
Gary Fleder
James Isaac
Barry Sonnenfeld
Steven Spielberg
Jay Andrews
Rob Bowman
Paul W.S. Anderson
Takashi Yamazaki
John McTiernan
Andrew Niccol
Danny Deprez
James Seale
M. Night Shyamalan
Corey Yuen
Steven Soderbergh
Sam Raimi
Stuart Baird
George Lucas
t. o. L.
Lynn Hershman Leeson
"Ron Clements, John Musker"
Simon Wells
Robert Dyke
Jay Woelfel
Lee Si-Myung
David Barto
Ron Krauss
Steve Anderson
Michael Winterbottom
Jon Amiel
JÃ´ji Iida
Lawrence Kasdan
Masaaki Tezuka
John Hoffman
Ang Lee
Kazuhisa Takenouchi
Thomas Vinterberg
Rakesh Roshan
"Andy Wachowski, Larry Wachowski"
"Andy Wachowski, Larry Wachowski"
JT Petty
Takahisa Zeze
Min Byeong-cheon
John Woo
Greg Pak
Jang Joon-hwan
Jonathan Mostow
Richard Donner
"Michael Spierig, Peter Spierig"
"Sunmin Park, Kim Moon-saeng"

Bryan Singer
Wong Kar-wai
Yasuaki Nakajima
Paul W.S. Anderson
Shinji Aramaki
"Eric Bress, J. Mackye Gruber"
Kiriya Kazuaki
David N. Twohy
Ernie Barbarash
Roland Emmerich
Hiroyuki Imaishi
Matthew Hastings
Pierre Morel
Michel Gondry
Carlos Atanes
Omar Naim
Joseph Ruben
Nick Hamm
Ryuhei Kitamura
Ã–mer Faruk Sorak
Alex Proyas
Enki Bilal
Mamoru Oshii
Timur Bekmambetov
"Jeff Renfroe, Marteinn Thorsson"
Rob Stefaniuk
Makoto Shinkai
Christoph Schrewe
Shane Carruth
Alexander Witt
Kevin Downes
Kerry Conran
Sam Raimi
Frank Oz
Jonathan Frakes
Karyn Kusama
Christoffer Boe
Eric Forsberg
Bruce Hunt
Mark Dindal
Paul Fox
Andrzej Bartkowiak
Jake West
Tim Story
"Tetsuya Nomura, Takeshi Nozue"
Hal Hartley
Andrew van den Houten
Timothy Hines
Garth Jennings
Michael Bay
John Maybury
Bruce Campbell
"YÅ«dai Yamaguchi, Junichi Yamamoto"
Michael J. Heagle
James Bai
"Chris Wedge, Carlos Saldanha"
Joss Whedon
David Van Eyssen
Peter Hyams
George Lucas
Rob Cohen
Katsuhiro Otomo
Steven Spielberg
Werner Herzog
Jon Favreau
Richard Linklater
Joe Bum-Jim
Marco Kalantari
Jonny Campbell
Eduardo Sanchez
Oleg Kompasov
Alfonso CuarÃ_n
Gregor Schnitzler
Daft Punk
Elio Quiroga
Timur Bekmambetov
Tony Scott
Martin Holland
"Jim Carroll, Jason Kerr"
Darren Aronofsky
Ryuta Tasaki
Mamoru Hosoda
Bong Joon-ho
Mike Judge
Shinji Higuchi
Daniel MonzÃ_n
Rakesh Roshan
Gary Rydstrom
Satoshi Kon
Konstantin Lopushansky
Christian Volckman
Richard Kelly
James Gunn
Bryan Singer
Kurt Wimmer
Rich Christiano
James McTeigue
Brett Ratner
Martin Curland
"Greg Strause, Colin Strause"
Shinji Aramaki
Juan Carlos Fresnadillo
Hitoshi Matsumoto
Julien Leclercq
Franck Vestiel
Tim Story
Ladd Ehlinger Jr.
Francis Lawrence
David Giancola
Oliver Hirschbiegel
Bob Shaye
Stephen Anderson
Frank Darabont
Lee Tamahori
Mikhail Khleborodov
Russell Mulcahy
Daniel Waters
Sam Raimi
Danny Boyle
Nacho Vigalondo
Kevin Munroe
Michael Bay

Frederik Du Chau
Fumihiko Sori
Yukihiko Tsutsumi
Ben Rock
Mathieu Kassovitz
Fernando Meirelles
Gil Kenan
Stephen Chow
Kanji Nakajima
Matt Reeves
John Stead
Marc Caro
K.S.Ravikumar
Scott Derrickson
Paul W. S. Anderson
Neil Marshall
D.J. Caruso
Uwe Boll
Gerald McMorrow
M. Night Shyamalan
Fyodor Bondarchuk
Louis Leterrier
Jon Favreau
Doug Liman
Harry Baweja
Brian Robbins
Simon Hunter
Howard McCain
Carlos Atanes
Alex Rivera
Dave Filoni
Yoshihiro Nishimura
Andrew Stanton
Chris Carter
Yukihiko Tsutsumi
Yukihiko Tsutsumi
Roland Emmerich
Shane Acker
R. W. Goodwin
David Bowers
James Cameron
Keith Calder
Richard Kelly
"Ivan Engler, Ralph Etter"
Neill Blomkamp
Gareth Carrivick
"Mark Neveldine, Brian Taylor"
Stephen Sommers
"Carl Ã…strand, Mats Lindberg"
Alex Proyas
Brad Silberling
Tarik Saleh
Craig Baldwin
"Conrad Vernon, Rob Letterman"
Duncan Jones
Jaco Van Dormael
Christian Alvart
Jorge Blanco
Paul McGuigan
Andy Fickman
Takeshi Koike
John Hillcoat
Noboru Iguchi
Sheldon Wilson

Vincenzo Natali
J. J. Abrams
Cory McAbee
Jonathan Mostow
McG
Shinya Tsukamoto
Robert Schwentke
Michael Bay
Zack Snyder
