Kaare Andrews
Seiji Chiba
Brian Trenchard-Smith
Panos Cosmatos
"Albert Hughes, Allen Hughes"
Breck Eisner
"Peter Spierig, Michael Spierig"
J.A. Steel
Pierre Coffin Chris Renaud
"Tatsuya Ishihara, Yasuhiro Takemoto"
"Simone Bartesaghi, Philip Kim"
S. Shankar
Wong Jing
Gabriel Cowan
"Sean Anders, John Morris"
Sandy Collora
Christopher Nolan
Jon Favreau
Gregg Araki
Lars Kraume
Susumu Kudo
Tom McGarth
Gareth Edwards
"Noboru Iguchi, Yoshihiro Nishimura, Tak Sakaguchi"
Mark Romanek
NimrÃ_d Antal
Miguel Sapochnik
Paul W.S. Anderson
Mo Ali
"Colin Strause, Greg Strause"
Takashi Yamazaki
Joseph Kosinski
John Hyams
Benedek Fliegauf
Jason Connery
A. R. Murugadoss
George Nolfi
Mike Cahill
Gonzalo LÃ_pez-Gallego
Gerson Sanginitto
Paul Johansson
Joe Cornish
Jonathan Liebesman
Joe Johnston
Steven Soderbergh
Jon Favreau
Chris Gorak
Kike MaÃ_llo
Nacho Vigalondo
Shinsuke Sato
Shinsuke Sato
Victor Ginzburg
Martin Campbell
Joe Wright
Tim Fehlbaum
ClÃ¡udio Torres
D. J. Caruso
Andrew Niccol
Neil Burger
William Eubank
Susumu Kudo
Simon Wells
Lars von Trier
Greg Mottola
NicolÃ¡s Goldbart
Scott Stewart
Antoine Charreyron
John Pogue
Anubhav Sinha
Shawn Levy
Rupert Wyatt
Duncan Jones
J. J. Abrams
Matthijs van Heijningen Jr.
Kenneth Branagh
Michael Bay
Matthew Vaughn
Kenji Kamiyama
Mark Atkins
Marc Webb
Joss Whedon
Peter Berg
"Jamie Bradshaw, Alexander Doulerain"
Josh Trank
"Tom Tykwer, The Wachowskis"
Pete Travis
Xavier Gens
Jon Wright
Gary Ross
Timo Vuorensola
Andrew Stanton
"James Mather, Stephen St. Leger"
Rian Johnson
Susumu Kudo
Martin Villeneuve
Barry Sonnenfeld
Ridley Scott
Paul W.S. Anderson
Jake Schreier
Colin Trevorrow
Lorene Scafaria
GB Hajim
Shinji Aramaki
Johannes Roberts
Len Wiseman
Hideki Takeuchi
Juan Diego Solanas
Akiva Schaffer
M. Night Shyamalan
Shmuel Hoffman
Jeff Renfroe
Ari Folman
NicolÃ¡s AlcalÃ¡
Scott Stewart
Pierre Coffin Chris Renaud
Neill Blomkamp
Cal Brunker
SebastiÃ¡n Cordero
Gavin Hood
Jon M. Chu
TÅçya SatÅç
Alfonso CuarÃ_n
Aleksey German
Spike Jonze
Francis Lawrence
W.D. Hogan
Andrew Niccol
Shane Black
Rakesh Roshan
"David Pastor, Ã€lex Pastor"
RuairÃ_ Robinson
Zack Snyder
Joseph Kosinski
Guillermo del Toro
James DeMonaco
David Twohy
Bong Joon-ho
Shinji Aramaki
J. J. Abrams
Alan Taylor
James Mangold
Marc Forster
Edgar Wright
Jake Paltrow
Terry Gilliam
Marc Webb
Noel Clarke
Zheng Guowei
Gabe IbÃ¡Ã±ez
Joseph Baker and Tom Large
Don Hall
Tatsuo SatÅç
Yan Jia
Josphe and Anthony Russo
James Ward Byrkit
Matt Reeves
Jeremy Berg
Neil Burger
Dave Green
Doug Liman
"Chad Archibald, Matt Wiele"
Seiji Mizushima
Phillip Noyce
Johannes Grenzfurthner
Gareth Edwards
James Gunn
Francis Lawrence
Christopher Nolan
Luc Besson
Wes Ball
Jabbar Raisani
Rob Minkoff
Takashi Yamazaki
"Peter Spierig, Michael Spierig"
James DeMonaco
StÃ©phanie Joalland
JosÃ© Padilha
William Eubank
Jack Plotnick
Jonathan Liebesman
Bradley D. King
Wally Pfister
Michael Bay


Dmitriy Grachev
Jonathan Glazer
Bryan Singer
Thomas R. Dickens
Peyton Reed
Joss Whedon
Neill Blomkamp
Robert Schwentke
Michihiro Takeuchi
Alex Garland
Josh Trank

Francis Lawrence
Shane Abbess
The Wachowskis
Colin Trevorrow
George Miller
Ridley Scott
Wes Ball
Tom Green
Li Changxin
Chris Columbus
Dean Israelite
Naoyoshi Shiotani
Tarsem Singh
Aaron Scott Moorhead
J. J. Abrams
Alan Taylor
Brad Bird
Brian A Miller
J Blakeson
Mary Elizabeth Winstead
